Target,Sample,Cq
ACT7,I_GFP.3.2nd,21.86742889
ACT7,I_GFP.3.2nd,22.0174969
ACT7,I_GFP.3.2nd,22.02117602
TMN5,I_GFP.3.2nd,31.73715365
TMN5,I_GFP.3.2nd,31.27515974
TMN5,I_GFP.3.2nd,31.71840625
PP2A1,I_GFP.3.2nd,27.89464326
PP2A1,I_GFP.3.2nd,27.69728854
PP2A1,I_GFP.3.2nd,27.50569565
TBL6,I_GFP.3.2nd,NaN
TBL6,I_GFP.3.2nd,NaN
TBL6,I_GFP.3.2nd,NaN
UBQ7,I_GFP.3.2nd,23.44272624
UBQ7,I_GFP.3.2nd,23.61523295
UBQ7,I_GFP.3.2nd,23.69750764
UBQ14,I_GFP.3.2nd,27.87081677
UBQ14,I_GFP.3.2nd,28.08156833
UBQ14,I_GFP.3.2nd,28.1736044
HYD1,I_GFP.3.2nd,29.30315998
HYD1,I_GFP.3.2nd,29.44211131
HYD1,I_GFP.3.2nd,29.12715656
ACT7,I.GFP.10.2nd,19.69993728
ACT7,I.GFP.10.2nd,19.70937632
ACT7,I.GFP.10.2nd,19.75067073
TMN5,I.GFP.10.2nd,27.71759531
TMN5,I.GFP.10.2nd,27.71191043
TMN5,I.GFP.10.2nd,27.77827285
PP2A1,I.GFP.10.2nd,25.2459849
PP2A1,I.GFP.10.2nd,25.38283074
PP2A1,I.GFP.10.2nd,25.28553336
TBL6,I.GFP.10.2nd,27.33217023
TBL6,I.GFP.10.2nd,27.50538257
TBL6,I.GFP.10.2nd,27.65218458
UBQ7,I.GFP.10.2nd,24.62158385
UBQ7,I.GFP.10.2nd,24.93284024
UBQ7,I.GFP.10.2nd,24.55333528
UBQ14,I.GFP.10.2nd,19.76828854
UBQ14,I.GFP.10.2nd,20.11654363
UBQ14,I.GFP.10.2nd,19.86148295
HYD1,I.GFP.10.2nd,24.78393461
HYD1,I.GFP.10.2nd,25.13981793
HYD1,I.GFP.10.2nd,24.72751925
ACT7,I.GFP.10.4th,21.03070982
ACT7,I.GFP.10.4th,21.00430414
ACT7,I.GFP.10.4th,21.03277298
TMN5,I.GFP.10.4th,28.47341385
TMN5,I.GFP.10.4th,28.6945244
